OBJECTID,location_id,address_primary,city,state,zip,Challenge_Potential_Served,Uniti_availability
2040904,1051647264,1313 COUNTY ROAD 33,WATERLOO,IN,46793,TRUE,
2040912,1051647246,3708 COUNTY ROAD 12,WATERLOO,IN,46793,TRUE,
2040913,1051617276,3367 COUNTY ROAD 10,WATERLOO,IN,46793,TRUE,
2040914,1051647316,3895 COUNTY ROAD 14,WATERLOO,IN,46793,TRUE,
2041046,1051647259,1551 COUNTY ROAD 39,WATERLOO,IN,46793,TRUE,
2041047,1051647260,1551 COUNTY ROAD 39 BLDG 2,WATERLOO,IN,46793,TRUE,
2041048,1051647261,1501 COUNTY ROAD 39,WATERLOO,IN,46793,TRUE,
2041049,1051647262,1499 COUNTY ROAD 39,WATERLOO,IN,46793,TRUE,
2041050,1051647304,1530 COUNTY ROAD 39,WATERLOO,IN,46793,TRUE,
2041051,1051647244,1590 COUNTY ROAD 39,WATERLOO,IN,46793,TRUE,
2041052,1051647233,1480 COUNTY ROAD 39,WATERLOO,IN,46793,TRUE,
2041055,1051647307,4111 COUNTY ROAD 16,WATERLOO,IN,46793,TRUE,